symbol	Protein Length	Kinome	DING	Ontogen	Foundation	RAS_Pathway
CTDSPL2	466					
NIPAL4	466					
CHIT1	466					
G3BP1	466			G3BP1		
MTX1	466					
POLD3	466					
CLUL1	466					
IQCC	466					
BTNL3	466					
ASB18	466					
LRRC6	466					
RASGEF1C	466					
KCNG2	466					
GCK	465	GCK				
STK38	465	STK38				
MKNK1	465	MKNK1			MKNK1	
MKNK2	465	MKNK2				
TRIM38	465					
SLC16A3	465					
SRPX2	465					
THEGL	465					
PNLIP	465					
GABRR2	465					
TACR3	465					
GFRA1	465					
SMAD1	465					
FOXD1	465					
KYNU	465					
CELF3	465					
WASH2P	465					
RANBP3L	465					
CDR2L	465					
GABRG1	465					
TSEN2	465					
SMAD5	465					
TRIM15	465					
MFSD1	465					
ONECUT1	465					
SNX8	465					
CDK8	464	CDK8			CDK8	
MAPK10	464	MAPK10				
STK38L	464	STK38L				
FAM90A10P	464					
FAM90A20P	464					
FAM90A12P	464					
FAM90A5P	464					
ISM1	464					
FAM90A26	464					
GFRA2	464					
GLRA3	464					
SERPINC1	464					
MYCN	464		MYCN	MYCN	MYCN	
ASL	464					
FAM90A14P	464					
FAM90A24P	464					
NDUFV1	464					
SRPX	464					
ARHGAP8	464					
SF3A2	464					
CEP55	464					
SNAP47	464					
FBXW12	464					
KRT28	464					
FAM90A1	464					
LRRC34	464					
ZNF669	464					
ALG1	464					
FRMD8	464					
NUF2	464					
GOLGA6L3	463					
WASH3P	463					
NDUFS2	463					
GLP1R	463					
RXRG	463					
CTSC	463					
HNRNPK	463					
PLIN5	463					
EEF1A2	463					
DCAF12L1	463					
DCAF12L2	463					
FAM90A2P	463					
IRGC	463					
PI16	463					
TRMT11	463					
LSM14A	463					
UBA3	463					
ZNF486	463					
L2HGDH	463					
JMJD4	463					
ZNF331	463					
SUCLA2	463					
PNMA3	463					
PLAGL1	463					
RUVBL2	463					
SIGLEC9	463					
HEPACAM2	462					
HPX	462					
SEMG1	462					
RARA	462		RARA		RARA	
ADRA2C	462					
RXRA	462		RXRA			
GABRA5	462					
EEF1A1	462		EEF1A1	EEF1A1		
SHH	462					
NFIL3	462					
TAF7L	462					
MANEA	462					
PLEKHS1	462					
EEF1A1P5	462					
CYP20A1	462					
GPR142	462					
ZNF610	462					
KREMEN2	462					
GTF2H4	462					
INTS12	462					
MCRS1	462					
NUDT12	462					
GOPC	462					
SLC38A7	462					
ERRFI1	462				ERRFI1	
TGFB1I1	461					
FKTN	461					
F9	461					
PROC	461					
THRB	461					
ODC1	461					
RNH1	461					
TNFRSF1B	461					
ITPKA	461					
CORO1A	461					
RRP1	461					
NUCB1	461					
NR5A1	461					
CALCRL	461					
SMTNL2	461					
USH1G	461					
CREB3L3	461		CREB3L3			
SLC30A6	461					
ZFP2	461					
ZNF627	461					
SLC46A3	461					
FIBCD1	461					
C9orf43	461					
CDS1	461					
SIL1	461					
PORCN	461					
IRAK4	460	IRAK4				
MOCS3	460					
CHRM1	460					
NR1H2	460					
MSS51	460					
LIPI	460					
CEP57L1	460					
TFAP2B	460					
AZIN2	460					
PTPN18	460					
SLC39A8	460					
FBRS	460					
WRAP73	460					
DCTN4	460					
NAP1L2	460					
ANGPTL3	460					
FAM90A27P	459					
CFAP99	459					
ZNF213	459					
MT-ND4	459					
CHN1	459					
IL7R	459		IL7R			
FKBP4	459					
CA9	459					
XKR3	459					
SPATA1	459					
STEAP4	459					
KRT27	459					
STPG2	459					
FEZF2	459					
TMEM143	459					
RNF25	459					
SLC46A1	459					
WDR41	459					
OXSM	459					
ZBTB12	459					
FAM155A	458					
KBTBD13	458					
HTRA2	458					
GPRIN2	458					
CD4	458					
SRGAP2B	458					
KRT13	458					
CPN1	458					
ZNF19	458					
HTR2C	458					
ESRRG	458					
GALK2	458					
CHRNB3	458					
NFYC	458					
ZNF239	458					
KNOP1	458					
GTDC1	458					
MLIP	458					
ENPP7	458					
TMEM135	458					
BPIFB2	458					
PPHLN1	458					
ATG4C	458					
FICD	458					
KAT8	458					
SERGEF	458					
BAG4	457					
CHGA	457					
GLRA1	457					
VIPR1	457					
CHKA	457					
ZNF140	457					
FKBP5	457			FKBP5		
KLF5	457		KLF5			
MANEAL	457					
UNC93A	457					
ADSSL1	457					
TMPRSS5	457					
PDLIM7	457					
FOXA2	457		FOXA2	FOXA2		
NFS1	457					
HTR3E	456					
PSMD12	456					
RRP8	456					
KRT38	456					
GABRA1	456					
ZNF25	456					
KRT15	456					
ADSS	456					
DDOST	456					
SLC29A2	456					
ZC2HC1C	456					
PLA1A	456					
SLC18B1	456					
SLC38A6	456					
BLNK	456					
KCNA7	456					
SLC29A1	456					
CHRDL1	456					
METTL17	456					
ZNF556	456					
METTL14	456					
NARF	456					
RUVBL1	456					
HS3ST4	456					
KIAA1147	455					
GPR89A	455					
SH3BP5	455					
EPHX1	455					
GPR89B	455					
RARB	455					
TNFRSF1A	455					
KIR3DL2	455					
BLMH	455					
MFSD10	455					
NT5DC1	455					
GDF6	455					
CLEC18B	455					
SMPDL3B	455					
KRT35	455					
SERINC2	455					
DDX47	455					
FAM124B	455					
BTNL2	455					
COLQ	455					
DAPK3	454	DAPK3				
GDF9	454					
OLFM2	454					
RARG	454					
TAT	454					
BCL3	454					
BMP5	454					
CPOX	454					
PPM1F	454					
TMPRSS3	454					
CDR2	454					
GABPA	454					
NCR3LG1	454					
HTR3D	454					
MIEF2	454					
CDCA7L	454					
TMX3	454					
PCED1A	454					
SH2D4A	454					
10-Sep	454					
10-Sep	454					
10-Sep	454					
FBXW2	454					
GDA	454					
WIPI2	454					
AP4M1	453					
GPR39	453					
SIGLEC6	453					
IGHM	453					
FGG	453					
UQCRC2	453					
ALDH3A1	453					
DLST	453					
HTRA3	453					
RUNX1	453		RUNX1	RUNX1		
GABRA6	453		GABRA6		GABRA6	
DCAF12	453					
PPP2R2D	453					
C17orf97	453					
TMPPE	453					
BPIFB6	453					
CHMP7	453					
SMPDL3A	453					
PPP2R3C	453					
ASB16	453					
AMN	453					
FAM117A	453					
SERINC1	453					
GCNT4	453					
ARMCX1	453					
TUBD1	453					
ENPP4	453					
ILK	452	ILK				
TRIM49B	452					
TRIM49D1	452					
GABRD	452					
TIMM44	452					
PAH	452					
TRIM49	452					
TRIM49C	452					
GLRA2	452					
ETV6	452				ETV6	
CASP2	452					
IDH2	452		IDH2	IDH2	IDH2	
TUFM	452					
FLI1	452					
ZNF672	452					
IFI44L	452					
FBXO47	452					
FAM222A	452					
KRT80	452					
ANKRD33	452					
TFAP2D	452					
TAMM41	452					
FAM81B	452					
TRIM51	452					
DPH7	452					
GORASP2	452					
SCPEP1	452					
ETNK1	452					
EIF2B3	452					
ZFP57	452					
PTK6	451	PTK6				
SH2D7	451					
IFRD1	451					
FARS2	451					
MSR1	451			MSR1		
TUBG1	451					
GABRA2	451					
TUBA1B	451					
POU3F1	451					
IRF4	451				IRF4	
OGFRL1	451					
SDE2	451					
TUBA1A	451					
LIPH	451					
NKD2	451					
TINF2	451					
GPR61	451					
TUBB1	451					
TUBG2	451					
ZNF222	451					
CSK	450	CSK				
TRIM64C	450					
TRIM77	450					
SNX4	450					
ADRA2A	450					
TUBA3C	450					
TUBA3D	450					
ADRA2B	450					
PAX8	450					
TUBB3	450					
BECN1	450					
TAF1A	450					
FAM189A2	450					
MFSD5	450					
TUBA3E	450					
KRT25	450					
GDF7	450					
CIR1	450					
PHYKPL	450					
TFAP2C	450					
RGMA	450					
CHRNA10	450					
TTYH1	450					
PDE7B	450					
ZNF277	450					
LANCL2	450					
ZNF446	450					
BFAR	450					
TRIM64	449					
TRIM64B	449					
ZBTB14	449					
MFSD11	449					
KRT37	449					
CLU	449					
WT1	449		WT1	WT1	WT1	
HNRNPH1	449					
HNRNPH2	449					
PCOLCE	449					
CMPK2	449					
CDCP2	449					
XKRX	449					
IQCD	449					
C11orf24	449					
C7orf26	449					
TUBA1C	449					
RMND1	449					
TUBA8	449					
MAP2K5	448	MAP2K5				
ZNF487	448					
AZIN1	448					
TAPBP	448					
TBX19	448					
EVI2B	448					
PSEN2	448					
TUBA4A	448					
KRT32	448					
TRMT12	448					
SPERT	448					
LILRB4	448					
GABPB2	448					
PNMA5	448					
SEPHS2	448					
INPP5K	448					
SLC52A1	448					
FBLN5	448					
EDAR	448					
CSNK1G3	447	CSNK1G3		CSNK1G3		
CDC14C	447					
MSL3P1	447					
GDI1	447					
CCKBR	447					
PPP2R2A	447				PPP2R2A	
MGAT2	447					
NR1H3	447					
TEAD2	447					
ZIC1	447					
TTC23	447					
HTR3C	447					
ITFG2	447					
AMBN	447					
WASH6P	447					
FBXO9	447					
FBXO5	447					
BAG5	447					
TBX20	447					
PPP2R2C	447					
TBL2	447					
CLEC18A	446					
TRIM43B	446					
TUBAL3	446					
NADK	446					
ZNF3	446					
DRD1	446					
SOX3	446					
SOX8	446					
IRX6	446					
CALCOCO2	446					
RUNDC3A	446					
WIPI1	446					
GPATCH4	446					
SAMD7	446					
TBC1D10C	446					
CRIPAK	446					
CLEC18C	446					
CCDC112	446					
TRIM43	446					
GRWD1	446					
TUBB6	446					
SMOC2	446					
ZNF70	446					
NEK2	445	NEK2				
MTRF1	445					
CDS2	445					
BCKDHA	445					
MGAT1	445					
KCNJ4	445					
GDI2	445					
CTBP2	445					
EIF3E	445					
TUBB4B	445					
TUBB2A	445					
STARD3	445					
NPY5R	445					
VWA1	445					
AGMO	445					
MYLIP	445					
HGD	445					
FAF2	445					
SCLY	445					
PRRC1	445					
C12orf66	445					
GSDMA	445					
TUBB2B	445					
C10orf88	445					
SLC52A2	445					
SUGCT	445					
DCAF13	445					
HRH3	445					
FADS3	445					
HCRTR2	444					
FADS1	444					
VPS4B	444					
FADS2	444					
TUBB4A	444					
TUBB	444					
TPH1	444					
CRHR1	444					
KIR3DL1	444					
XK	444					
FOXF2	444					
TUBB8	444					
ZNF506	444					
IFI44	444					
RNFT2	444					
CCM2	444					
PACSIN1	444					
SERPINA10	444					
STK24	443	STK24				
GXYLT2	443					
NPIPB15	443					
HOXA3	443					
TADA2A	443					
EFEMP2	443					
CPM	443					
DRD2	443					
POU3F2	443					
GATA3	443		GATA3	GATA3	GATA3	
COPS2	443			COPS2		
PPP2R2B	443					
KHDRBS1	443					
COX10	443					
CHST9	443					
ENOSF1	443					
GALNTL5	443					
ERICH1	443					
DPH1	443					
IQCG	443					
MRS2	443					
SDC3	442					
TULP3	442					
EDNRB	442					
GATA4	442				GATA4	
TRIM14	442					
C5orf22	442					
NADK2	442					
KLHDC10	442					
ZNF773	442					
TFAP2E	442					
CRLF3	442					
FBXO39	442					
MEIOB	442					
SPRYD3	442					
MIPOL1	442					
CRBN	442					
MXRA8	442					
PLVAP	442					
CADM1	442					
RSAD1	442					
FOLH1B	442					
P2RX6	441					
EED	441				EED	
HTR3B	441					
SOX11	441					
EVA1C	441					
PPARD	441					
PLA2G7	441					
NDUFAF7	441					
CCDC91	441					
RTN4RL1	441					
ANKMY2	441					
LRRC17	441					
ZNF485	441					
IP6K1	441					
COL26A1	441					
EMID1	441					
ZBTB8A	441					
SGPP1	441					
NUSAP1	441					
UBXN6	441					
RHBG	441					
ZBTB26	441					
GPRC5C	441					
PMS2P1	440					
GABRP	440					
TNFRSF10B	440					
ZMYND10	440					
LCAT	440					
OMG	440					
SCTR	440					
HTR6	440					
PSMC1	440					
CTBP1	440					
SQSTM1	440					
PDIA6	440					
GXYLT1	440					
ENPP6	440					
GPR180	440					
TTC5	440					
SNX31	440					
WIPF2	440					
SOCS4	440					
GORASP1	440					
SETD4	440					
R3HCC1	440					
SLC17A2	439					
OAT	439					
CCDC166	439					
PSMC3	439					
GTF2E1	439					
TERF1	439					
MFAP1	439					
EXOSC9	439					
ARHGAP1	439					
SPOCK1	439					
FOXD4	439					
FGL2	439					
TTLL9	439					
FBLN7	439					
GJC2	439					
ZNF621	439					
RBM23	439					
LILRA3	439					
ABHD8	439					
MRPS30	439					
ACOT9	439					
CCDC78	438					
USP27X	438					
RHBDL1	438					
GCNT3	438					
VIPR2	438					
CLN3	438					
SLC10A5	438					
TMPRSS11F	438					
EFCAB3	438					
ALG3	438					
GCDH	438					
ZNF641	438					
TMEM184C	438					
RNF150	438					
SGCE	437					
ERAL1	437					
TFAP2A	437					
SNRNP70	437					
EEF1G	437					
ETF1	437					
ZNF154	437					
BYSL	437					
7-Sep	437					
7-Sep	437					
7-Sep	437					
SNX30	437					
RGMB	437					
RBMS3	437					
FJX1	437					
CPA6	437					
CD177	437					
ZNF491	437					
IPCEF1	437					
SLC10A4	437					
PLIN2	437					
TSPYL1	437					
SPAG4	437					
TMPRSS4	437					
VPS4A	437					
IFT52	437					
NIM1	436	NIM1				
PDK1	436	PDK1			PDK1	
ORC4	436					
KRT34	436					
TBX6	436					
PKNOX1	436					
NIM1K	436					
PM20D2	436					
ZNF101	436					
CNBD1	436		CNBD1			
KCNG3	436					
CPA5	436					
STAMBPL1	436					
FBXL20	436					
SPOCK3	436					
SLC17A9	436					
GCM1	436					
POU2F3	436					
KCNJ14	436					
KPTN	436					
STK40	435	STK40				
SLC38A8	435					
ORC5	435					
PTPN1	435					
ZBTB25	435					
LTBR	435					
PSG6	435					
HYAL1	435					
OXA1L	435					
RNFT1	435					
NXN	435					
C11orf96	435					
PROSER2	435					
CCNJL	435					
TMEM130	435					
CADM2	435					
TEKT4	435					
AP2M1	435					
CDK15	435					
MBOAT4	435					
TEAD3	435					
PIGU	435					
ACTL7A	435					
GJA3	435					
PLIN3	434					
NR1I2	434					
ENO1	434					
ENO2	434					
ENO3	434					
PBX3	434					
CASP5	434					
AAMP	434					
6-Sep	434					
6-Sep	434					
6-Sep	434					
TEAD4	434					
FCRL6	434					
RSRC2	434					
FAM83A	434					
MICU2	434					
CMAS	434					
GPR150	434					
MAEL	434					
ZC3H10	434					
TRNT1	434					
SMOC1	434					
KCNJ18	433					
ESRRB	433					
CCNB1	433					
TCN1	433					
PSMC2	433					
GJA8	433					
PRMT2	433					
KCNJ12	433					
FAM98B	433					
CASC4	433					
ARRDC1	433					
ZSCAN4	433					
LCOR	433					
LGMN	433					
GPR22	433					
APOL5	433					
RNF26	433					
SMYD2	433					
NPIPB8	432					
TADA3	432					
LUC7L3	432					
GFAP	432					
AHCY	432					
HOXD3	432					
ACADSB	432					
KRT17	432					
TRIP13	432					
NPTX1	432					
ZNF829	432					
FOXB2	432					
14-Sep	432					
14-Sep	432					
14-Sep	432					
RNF44	432					
RNF135	432					
TXNDC5	432					
SLC35B2	432					
PCED1B	432					
SUCLG2	432					
WDR18	432					
PAG1	432					
SGK1	431	SGK1			SGK1	
PLAU	431					
HOXB3	431					
BMP7	431					
ELK4	431					
FOXN2	431					
NPTX2	431					
EIF5	431					
CSTF1	431					
IGSF11	431					
SH2D4B	431					
C9orf50	431					
KRT40	431					
ASTL	431					
STRADA	431					
SP7	431					
GAL3ST3	431					
QRFPR	431					
ECSIT	431					
SYT11	431					
FOXP3	431					
MANSC1	431					
CARD8	431					
WTIP	430					
GOT2	430					
KRT18	430					
ACADL	430					
PBX1	430					
PBX2	430					
RBM34	430					
MRPS5	430					
GOLGA8F	430					
GOLGA8G	430					
GOLGA8DP	430					
GCNT7	430					
LACC1	430					
PPM1N	430					
ZNF713	430					
RELT	430					
SPZ1	430					
NPFFR1	430					
KCNK12	430					
BSDC1	430					
TEKT2	430					
DBNL	430					
NPIPB9	429					
SLC30A4	429					
SLC37A4	429					
ACTL6A	429					
GLA	429					
MAGEA11	429					
CHRDL2	429					
PNPLA5	429					
GPR137C	429					
SCCPDH	429					
SRFBP1	429					
TNIP2	429					
SMAP2	429					
ZNRF4	429					
FCRL1	429					
NSUN5	429					
ZBP1	429					
ZNF275	429					
11-Sep	429					
11-Sep	429					
11-Sep	429					
IFT57	429					
GDF2	429					
POFUT2	429					
ISLR	428					
HDAC3	428			HDAC3		
ENTPD5	428					
IGHE	428					
CCKAR	428					
GCNT1	428					
DDX39B	428					
FLOT2	428					
PSG3	428					
ARL13B	428					
POM121L1P	428					
KCTD16	428					
CLNK	428					
NT5DC4	428					
RNF128	428					
SMYD3	428					
ACP6	428					
ZNF355P	428					
FBXL3	428					
NEU3	428					
LRRC42	428					
MAPK8	427	MAPK8				
SGK2	427	SGK2				
ZNF736	427					
DDX39A	427					
KCNN4	427					
FLOT1	427					
NGFR	427					
VDR	427					
TCN2	427					
AKAP5	427					
ACAT1	427					
EDNRA	427					
SERPINA4	427					
RPL4	427					
RENBP	427					
ZNF134	427					
KCNJ2	427					
IL13RA1	427					
IRF3	427					
ATP6V1C2	427					
DDB2	427					
PUS1	427					
STK25	426	STK25				
FAM181B	426					
SMAD7	426					
ACTL6B	426					
KCNK2	426					
INHBA	426					
IVD	426					
TEAD1	426					
PSG9	426					
IRF8	426					
PRAMEF14	426					
FCRLB	426					
KCTD18	426					
ZNF562	426					
RAD9B	426					
ZNF662	426					
SYT13	426					
SLC16A13	426					
ZC3H15	426					
AMDHD1	426					
PANX1	426					
ZNF2	426					
EGLN1	426					
NMUR1	426					
IP6K2	426					
PSG8	426					
ASB4	426					
MACROD2	425					
NPIPB6	425					
HCRTR1	425					
ABHD2	425					
PAICS	425					
F2R	425					
SMAD3	425					
RBBP4	425					
RBBP7	425			RBBP7		
CEACAM16	425					
ZNF789	425					
PPP1R32	425					
AADAT	425					
UBR7	425					
CACNG8	425					
TANK	425					
CLP1	425					
SCRN2	425					
TRIM31	425					
SYT4	425					
PLEKHA2	425					
SOHLH2	425					
CWC25	425					
PSKH1	424	PSKH1				
MAPK9	424	MAPK9				
SBK1	424	SBK1				
SERPINE3	424					
SHISA9	424					
BMP10	424					
STAMBP	424					
ACAA1	424					
DUX4L2	424					
DUX4L7	424					
ZP3	424					
KRT20	424					
AVPR1B	424					
SCRN3	424					
SKP2	424					
SF3B4	424					
KCNJ8	424					
ZBTB6	424					
TBCEL	424					
ZNF385C	424					
ZAR1	424					
SPATA2L	424					
SPOCK2	424					
SLC22A18	424					
ELP4	424					
ZNF597	424					
SLC35A5	424					
CHST8	424					
PACSIN3	424					
SMPD2	423					
TTLL1	423					
SERPINA3	423					
NR2F1	423					
ACP2	423					
ESRRA	423					
FECH	423					
MPI	423					
KCNJ6	423					
GATM	423					
GHRHR	423					
LIPM	423					
SH2D5	423					
SHF	423					
SERINC5	423					
FAM43A	423					
ZNF557	423					
OXER1	423					
CPB2	423					
GAL3ST1	423					
AP1M1	423					
MRPL37	423					
WDR12	423					
PIGM	423					
TNFRSF19	423					
TOR4A	423					
GPR83	423					
HSFX1	423					
FBXL2	423					
TMPRSS11E	423					
COPS3	423					
AP1M2	423					
STYK1	422	STYK1				
CSNK1G1	422	CSNK1G1				
SDR42E2	422					
ZBTB42	422					
PSMD11	422			PSMD11		
B3GALT2	422					
CRLF1	422					
HTR1A	422					
DUX4L4	422					
SYT1	422					
PAX6	422					
FAM53B	422					
IL11RA	422					
AGK	422					
ZNF620	422					
ZNF550	422					
UBE2Q1	422					
SERPINA11	422					
PRR22	422					
C19orf47	422					
FAM71D	422					
P2RX5	422					
PPP1R36	422					
GFI1	422					
MCHR1	422					
C16orf70	422					
KRT23	422					
REXO4	422					
ING1	422			ING1		
TRMU	421					
CNP	421					
NBPF7	421					
ACR	421					
ACADM	421					
RCC1	421					
ATAT1	421					
ARL6IP4	421					
TMPRSS11A	421					
BEND5	421					
ACOT1	421					
SYT12	421					
ZNF584	421					
SLC35F3	421					
ACOT4	421					
GOT1L1	421					
PIP4K2C	421					
C2CD4C	421					
FOXJ1	421					
OMD	421					
C7orf25	421					
SYT15	421					
POLDIP3	421					
TMLHE	421					
ASB6	421					
TES	421					
CPA4	421					
WSB1	421					
GSK3B	420	GSK3B			GSK3B	
FOXI3	420					
SLC17A3	420					
NFIB	420					
HNRNPDL	420					
NAPSA	420					
SERPINA2	420					
PRIM1	420					
NUCB2	420					
IL5RA	420					
TPBG	420					
ZNF362	420					
HMBOX1	420					
IDO2	420					
LANCL3	420					
TADA2B	420					
RTN4RL2	420					
DCP2	420					
UXS1	420					
CRELD1	420					
GMPPA	420					
RNF39	420					
TASP1	420					
PELI2	420					
RBM22	420					
ANKRD10	420					
MAP2K7	419	MAP2K7				
UHMK1	419	UHMK1				
MOK	419	MOK				
CCDC85C	419					
HAT1	419					
GCAT	419					
PSG1	419					
FDPS	419					
CPA1	419					
FAH	419					
CKMT2	419					
DRD4	419					
CPA2	419					
KCNJ5	419					
VEGFC	419					
PSG4	419					
POU4F1	419					
PSG7	419					
KCNAB1	419					
DUSP7	419					
BZW1	419					
KCTD20	419					
RNF130	419					
SYT2	419					
NFATC2IP	419					
GPR151	419					
GPR63	419					
POLR1E	419					
IKZF5	419					
BRF2	419					
VAT1L	419					
BCS1L	419					
PYGO1	419					
BZW2	419					
IKBKG	419					
ANKRD61	418					
TMPRSS11D	418					
TM7SF2	418					
SERPINA1	418					
NTSR1	418					
PRKAR2B	418					
SSTR3	418					
SERPINF1	418					
AVPR1A	418					
PSMC4	418					
ARRB1	418					
SERPINH1	418					
AP3M2	418					
ACTR3	418					
BAAT	418					
SS18	418					
HSP90AA4P	418					
SMYD5	418					
HSDL2	418					
CENPU	418					
MMAA	418					
FBXL14	418					
ARRDC4	418					
TEKT1	418					
ZNF566	418					
SLC25A46	418					
PELI1	418					
FUZ	418					
STRADB	418					
KCNJ16	418					
ING3	418					
ACTR3B	418					
ST3GAL5	418					
AP3M1	418					
TRAPPC13	417					
HYAL3	417					
PGK1	417					
HPN	417					
PGK2	417					
LAMP1	417					
CKMT1A	417					
CKMT1B	417					
CPB1	417					
CPA3	417					
PVR	417					
RHCE	417					
CALR	417				CALR	
LOX	417					
FDFT1	417					
RHD	417					
PAX2	417					
FOXD4L6	417					
GLRA4	417					
FOXD4L3	417					
TSPYL5	417					
SERPINA9	417					
SAMD14	417					
ANKS4B	417					
ZNF114	417					
TNFRSF25	417					
MTERF3	417					
GPR137	417					
WNT10A	417					
PREB	417					
PPP4R2	417					
ACTR10	417					
ZNF232	417					
MST4	416	MST4				
CSNK1E	416	CSNK1E				
ZFP92	416					
PSTPIP1	416					
PRB2	416					
CASP9	416					
PIP4K2B	416					
TRAF1	416					
HEPACAM	416					
KRT31	416					
SLC35D3	416					
FOXD4L5	416					
RCSD1	416					
TMPRSS11B	416					
PTOV1	416					
KDM8	416					
IPMK	416					
ACTL9	416					
FAM172A	416					
FOXD4L4	416					
MKRN2	416					
ALG2	416					
APMAP	416					
EVL	416					
KLF15	416					
LAMP3	416					
CEPT1	416					
CSNK1D	415	CSNK1D				
CSNK1G2	415	CSNK1G2				
SERPINB2	415					
SERPINA7	415					
PTPN2	415					
HNRNPF	415					
BFSP2	415					
RUNX3	415					
GPR19	415					
PDSS1	415					
MAMSTR	415					
DAW1	415					
NKAP	415					
ZPLD1	415					
SAMD8	415					
NEU1	415					
NMUR2	415					
PICK1	415					
PPP4R1L	415					
ACAD8	415			ACAD8		
PCOLCE2	415					
ACTL7B	415					
STK32B	414	STK32B				
STK17A	414	STK17A				
NPIPB7	414					
IDH1	414		IDH1	IDH1	IDH1	
SUPT7L	414					
VSIG8	414					
NR2F2	414			NR2F2		
YY1	414					
TGFB2	414					
SCRN1	414					
TARDBP	414					
ITPK1	414					
LCLAT1	414					
SERPINA12	414					
SCML4	414					
C12orf50	414					
MRPS27	414					
ARRDC3	414					
LRR1	414					
OSGEPL1	414					
SOX17	414		SOX17	SOX17		
CHST12	414					
WWOX	414					
TSPYL4	414					
HHLA2	414					
FAM187A	413					
ADRB2	413					
GATA1	413					
GOT1	413					
E2F4	413					
HABP4	413					
TMEM184A	413					
SGMS1	413					
CCDC83	413					
PRSS35	413					
CLUAP1	413					
RBM41	413					
ZDHHC6	413					
FAM8A1	413					
BCKDK	412	BCKDK				
ARID3C	412					
BHLHE40	412					
MLNR	412					
SUV39H1	412					
DOK2	412					
DNAJA2	412					
ZNF821	412					
CBX6	412					
ASS1	412					
CTSD	412					
ZNF735	412					
TGFB3	412					
ACADS	412					
ADORA2A	412					
WDR4	412					
FBXW4	412					
RAPSN	412					
DOC2B	412					
SELPLG	412					
FKBP8	412					
INPP5A	412					
ZNF260	412					
ZACN	412					
CHRFAM7A	412					
PRR30	412					
ADAM5	412					
ZNF704	412					
SKA3	412					
PLA2G15	412					
SLC35G2	412					
MFSD3	412					
PTGES3L-AARSD1	412					
AARSD1	412					
ZDHHC11	412					
NOB1	412					
PDK4	411	PDK4				
CHST1	411					
HS6ST1	411					
KIAA0513	411					
DPEP1	411					
NAGA	411					
EIF4A3	411					
CRHR2	411					
IHH	411					
NKX1-1	411					
TBRG1	411					
BMP2KL	411					
ATAD3C	411					
ZFYVE27	411					
BROX	411					
STAC2	411					
LDB1	411					
ZNF679	411					
TPRX1	411					
GSDMB	411					
SNAPC3	411					
SMARCE1	411					
CCDC51	411					
CHST5	411					
ALX4	411					
MBD2	411					
AJAP1	411					
CABC1	410	CABC1				
SGK494	410	SGK494				
TEX28P1	410					
NTSR2	410					
LAMP2	410					
ENDOU	410					
CCNE1	410				CCNE1	
HOXA10	410					
PAFAH1B1	410					
TDG	410					
SIGIRR	410					
NIPAL1	410					
COX15	410					
WDFY1	410					
KIR3DL3	410					
TSPYL6	410					
SLC35E1	410					
RMDN2	410					
IP6K3	410					
SERPINI1	410					
HAUS8	410					
CNPPD1	410					
SUV39H2	410					
CLIC5	410					
NR2E3	410					
AUP1	410					
KLRG2	409					
FAM20B	409					
MFAP3L	409					
ARRB2	409					
RAD23B	409			RAD23B		
RHAG	409					
POU4F2	409					
EXOC3L2	409					
PLEKHO1	409					
FAXC	409					
ZDHHC23	409					
DEPTOR	409					
ABHD3	409					
TEX13A	409					
PISD	409					
KIAA1257	409					
AMDHD2	409					
GAPDHS	408					
SSB	408					
BMP4	408					
ADRB3	408					
ACY1	408					
HNF4G	408					
SLC35F1	408					
SLX4IP	408					
NCEH1	408					
ZSCAN1	408					
SERBP1	408					
S100PBP	408					
ZNF764	408					
TMEM237	408					
DPAGT1	408					
KCNK13	408					
FOXD4L1	408					
PDK2	407	PDK2				
METTL15	407					
TRIM13	407					
GDF11	407					
INHBB	407					
TACR1	407					
MNDA	407			MNDA		
ELK3	407					
EVX1	407					
EIF4A2	407			EIF4A2		
RBMS2	407					
ZNF174	407					
ADRM1	407					
SLFNL1	407					
AADACL3	407					
AADACL4	407					
ZFP1	407					
MAGEB6	407					
POC1A	407					
ARRDC2	407					
RPL3L	407					
DAZAP1	407		DAZAP1			
EGLN2	407					
ZNF552	407					
IGSF5	407					
TMEM184B	407					
PHKG2	406	PHKG2				
PDK3	406	PDK3				
HP	406					
REN	406					
SERPINA5	406					
ST6GAL1	406					
RBMS1	406					
PIP4K2A	406					
LHX1	406					
TDO2	406					
LHX2	406					
EIF4A1	406					
PSMC5	406					
RING1	406					
SLC38A11	406					
NIPAL3	406					
CCBE1	406					
ZNF793	406					
ESX1	406					
ARFGAP1	406			ARFGAP1		
KLHDC1	406					
CCER1	406					
CHPT1	406					
BHMT	406					
VMP1	406					
ZSCAN31	406					
PYGO2	406					
ERP44	406					
HERPUD2	406					
COPS4	406					
ANGPTL4	406					
MTG2	406					
OLFML3	406					
SEC14L4	406					
SNX6	406					
UST	406					
KLHDC2	406					
HS3ST3A1	406					
ZNF785	405					
SERPINI2	405					
SERPINA6	405					
SLC35E2B	405					
SAG	405					
CTH	405					
HSD11B2	405					
DMTN	405					
TFDP3	405					
SERPINB12	405					
ABHD1	405					
UBAC1	405					
RAGE	404	RAGE				
SAC3D1	404					
GPR182	404					
KCNAB3	404					
KRT33A	404					
CCNE2	404					
NR2F6	404					
PRKAR2A	404					
CASP1	404			CASP1		
GPR143	404					
RHBDL3	404					
KRT33B	404					
AGER	404					
IER5L	404					
KIAA0930	404					
